x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,t,cl,cd_total,drag,Thrust_N,LIFT_x,LIFT_y,LIFT_z,THRUST_x,THRUST_y,THRUST_z,DRAG_x,DRAG_y,DRAG_z,Corriente_real
-3.21235863119381,50.5216218649408,6.06114025610689e-14,-2.60997332398031,26.6085674333542,3.1350965013889e-15,-16.9099497595314,-1.66194388591025,-5.12825027538337e-16,22.7000000000001,0.252470466433246,0.0562769563911995,34.9871856298812,34.9611606032413,-135.28210402477,-13.2696469670921,78.48,-3.41291591463976,34.794177037045,0,3.41542186315877,-34.8200811572349,-4.1026002203067e-15,46.939496437306
-3.55770133533763,53.1723821101697,6.09194256354172e-14,-4.29455184690372,26.3887787592211,3.05510552752563e-15,-16.7702952499146,-2.7323352014145,-4.99737704407114e-16,22.8000000000001,0.252476471394913,0.0562773150313388,34.9865764461762,34.9621506243851,-134.166250859509,-21.8345673257631,78.48,-5.61594839149758,34.5081599038,0,5.6198372516898,-34.5322741893529,-3.99790163525691e-15,46.9404444581961
-4.07069056709999,55.7958280737827,6.12253874663291e-14,-5.96177449493431,26.062465320696,3.09387601302573e-15,-16.5629495475536,-3.79172268627322,-5.06076948460839e-16,22.9000000000001,0.252482110917802,0.0562776518566087,34.9860043680048,34.9630803645043,-132.508673697854,-30.3114268030356,78.48,-7.79644189305522,34.0827299725682,0,7.80151921048022,-34.1050846597184,-4.04861558768672e-15,46.9413347553991
-4.74925355710691,58.3813694473416,6.15351948216174e-14,-7.60491151922422,25.6309418579713,3.102411777079e-15,-16.2887453743751,-4.83582807050301,-5.07470705444074e-16,23.0000000000001,0.252487407249837,0.0562779681938501,34.9854671324898,34.9639534973053,-130.31604834684,-38.6659894903013,78.48,-9.94557829774694,33.5195989905177,0,9.95166364958576,-33.5402340642405,-4.05976564355259e-15,46.9421708467698
-5.59064917661811,60.9185686926455,6.18458730299587e-14,-9.21732999116888,25.0959480114732,3.08119926166826e-15,-15.9487857572966,-5.86043448366184,-5.03998607580279e-16,23.1000000000001,0.252492381285468,0.0562782652893324,34.984962614878,34.9647734725529,-127.597212756884,-46.8645121245744,78.48,-12.0546664323184,32.8210359555039,0,12.0615931308301,-32.8399997002241,-4.03198886064223e-15,46.9429560357215
-6.59147896411121,63.3971831962047,6.2157359432023e-14,-10.7925206193437,24.4596413261147,3.14867285615402e-15,-15.5444395761913,-6.86140352296868,-5.15033202532678e-16,23.2000000000001,0.252497052647899,0.0562785443136296,34.9844888200948,34.9655435297276,-124.363131337723,-54.8738805250402,78.48,-14.1151772210993,31.9898578669277,0,14.1227919492914,-32.007205525637,-4.12026562026142e-15,46.9436934243042
-7.74770080949833,65.8072066393037,6.246966554596e-14,-12.3241240672591,23.724588564117,3.09758855788566e-15,-15.0773360357191,-7.83469200242381,-5.06675223820363e-16,23.3000000000001,0.252501439766328,0.0562788063662056,34.9840438748168,34.9662667108495,-120.626850675961,-62.6617434803671,78.48,-16.118778172693,31.029418265797,0,16.126940562902,-31.0452108048203,-4.0534017905629e-15,46.9443859254847
-9.0546452407119,68.1389094162159,6.2779865387332e-14,-13.805956665415,22.8937553616947,3.10606087154207e-15,-14.5493580836192,-8.77636831526874,-5.08059124157356e-16,23.4000000000001,0.252505559948506,0.0562790524797209,34.9836260200307,34.9669458725194,-116.403446834196,-70.1966435459591,78.48,-18.0573670654371,29.9435936105834,0,18.0659492306802,-29.9578965867742,-4.06447299325885e-15,46.9450362746765
-10.5070342468652,70.3828779370022,6.30909055779222e-14,-15.2320354136074,21.9704942715906,3.17360781005103e-15,-13.9626348023038,-9.68262834370367,1.25725089170635e-15,23.5000000000001,0.252509429448902,0.0562792836240816,34.9832336040481,34.9675836972253,-111.709964445581,-77.4481442228743,78.48,-19.9231046962044,28.7367675441504,0,19.9319907233543,-28.7496500709055,-4.15284758155121e-15,46.9456470405669
-12.0990025619289,72.5300526558492,6.34085973000837e-14,-16.5966021723326,20.9585312399608,3.15124911073068e-15,-13.3195328047193,-10.5498108516234,-5.15447021997835e-16,23.6000000000001,0.252513063532731,0.0562795007102437,34.9828650759482,34.9681827039583,-106.565347850807,-84.3869530048125,78.48,-21.708446560871,27.4138131154937,0,21.717531973924,-27.4253469236687,-4.12357617598268e-15,46.9462206352822
